,,,,
Navn,Interval,tid,IF,Intervalbeskrivelse
AT: 5x(3+1)m,5x(3+1)m,15,15,"AT: 5x(3+1)m køres som 1 intervalserie med 5 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
AT: 6x(3+1)m,6x(3+1)m,18,18,"AT: 6x(3+1)m køres som 1 intervalserie med 6 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
AT: 7x(3+1)m,7x(3+1)m,21,21,"AT: 7x(3+1)m køres som 1 intervalserie med 7 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
AT: 8x(3+1)m,8x(3+1)m,24,24,"AT: 8x(3+1)m køres som 1 intervalserie med 8 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
AT: 9x(3+1)m,9x(3+1)m,27,27,"AT: 9x(3+1)m køres som 1 intervalserie med 9 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
AT: 10x(3+1)m,10x(3+1)m,30,30,"AT: 10x(3+1)m køres som 1 intervalserie med 10 gentagelser af 3 minutters arbejde og 1 minuts pause. kadence 85-100, puls i AT-zone"
,,,,
,,,,
AT: 2x(5+2)m,2x(5+2)m,10,10,"AT: 2x(5+2)m køres som 1 intervalserie med 2 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 3x(5+2)m,3x(5+2)m,15,15,"AT: 3x(5+2)m køres som 1 intervalserie med 3 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 4x(5+2)m,4x(5+2)m,20,20,"AT: 4x(5+2)m køres som 1 intervalserie med 4 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 5x(5+2)m,5x(5+2)m,25,25,"AT: 5x(5+2)m køres som 1 intervalserie med 5 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 6x(5+2)m,6x(5+2)m,30,30,"AT: 6x(5+2)m køres som 1 intervalserie med 6 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 7x(5+2)m,7x(5+2)m,35,35,"AT: 7x(5+2)m køres som 1 intervalserie med 7 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 8x(5+2)m,8x(5+2)m,40,40,"AT: 8x(5+2)m køres som 1 intervalserie med 8 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 9x(5+2)m,9x(5+2)m,40,40,"AT: 9x(5+2)m køres som 1 intervalserie med 9 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
AT: 10x(5+2)m,10x(5+2)m,40,40,"AT: 10x(5+2)m køres som 1 intervalserie med 10 gentagelser af 5 minutters arbejde og 2 minutters pause. kadence 85-100, puls i AT-zone"
,,,,
,,eks,,
AT: 2+1+2…m,2+1+2…m,1x12,16,"AT: 2+1+2…m, køres som 2 min på AT niveau + 1 min med øget belastning mod max + 2 min på AT niveau osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
AT: 3+1+3…m,3+1+3…m,1x12,15,"AT: 3+1+3…m, køres som 3 min på AT niveau + 1 min med øget belastning mod max + 3 min på AT niveau osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
,,,,
,,,,
AT: 1x8(75+15)s,1x8(75+15)s,10,10,"AT: 1x8(75+15)s køres som 1 intervalserie med 8 gentagelser af 75 sekunders arbejde og 15 sekunders pause. kadence 85-100, puls i AT-zone"
AT: 2x8(75+15)s,2x8(75+15)s,20,20,"AT: 2x8(75+15)s køres som 2 intervalserier med 8 gentagelser af 75 sekunders arbejde og 15 sekunders pause. kadence 85-100, puls i AT-zone"
,,,,
,,,,
AT: 1x2m ,1x2m ,2,2,AT: 1x2m løbes som 1 interval af 2 min. Puls i AT-zone
AT: 1x3m ,1x3m ,3,3,AT: 1x3m løbes som 1 interval af 3 min. Puls i AT-zone
AT: 1x4 m ,1x4 m ,4,4,AT: 1x4m løbes som 1 interval af 4 min. Puls i AT-zone
AT: 1x5m ,1x5m ,5,5,AT: 1x5m løbes som 1 interval af 5 min. Puls i AT-zone
AT: 1x8m ,1x8m ,8,8,AT: 1x8m løbes som 1 interval af 8 min. Puls i AT-zone
AT: 1x10m ,1x10m ,10,10,AT: 1x10m løbes som 1 interval af 10 min. Puls i AT-zone
AT: 1x12m ,1x12m ,12,12,AT: 1x12m løbes som 1 interval af 12 min. Puls i AT-zone
AT: 1x15m ,1x15m ,15,15,AT: 1x18m løbes som 1 interval af 15 min. Puls i AT-zone
AT: 1x20m ,1x20m ,20,20,AT: 1x20m løbes som 1 interval af 20 min. Puls i AT-zone
AT: 1x25m ,1x25m ,25,25,AT: 1x28m løbes som 1 interval af 25 min. Puls i AT-zone
AT: 1x30m ,1x30m ,30,30,AT: 1x30m løbes som 1 interval af 30 min. Puls i AT-zone
,,,,
AT: 2x2m ,2x2m ,4,4,AT: 2x2m løbes som 2 intervaller af 2 min. Puls i AT-zone
AT: 2x3m ,2x3m ,6,6,AT: 2x3m løbes som 2 intervaller af 3 min. Puls i AT-zone
AT: 2x4m ,2x4m ,8,8,AT: 2x4m løbes som 2 intervaller af 4 min. Puls i AT-zone
AT: 2x5m ,2x5m ,10,10,AT: 2x5m løbes som 2 intervaller af 5 min. Puls i AT-zone
AT: 2x8m ,2x8m ,16,16,AT: 2x8m løbes som 2 intervaller af 8 min. Puls i AT-zone
AT: 2x10m ,2x10m ,20,20,AT: 2x10m løbes som 2 intervaller af 10 min. Puls i AT-zone
AT: 2x12m ,2x12m ,24,24,AT: 2x12m løbes som 2 intervaller af 12 min. Puls i AT-zone
AT: 2x15m ,2x15m ,30,30,AT: 2x15m løbes som 2 intervaller af 15 min. Puls i AT-zone
AT: 2x20m ,2x20m ,40,40,AT: 2x20m løbes som 2 intervaller af 20 min. Puls i AT-zone
AT: 2x25m ,2x25m ,50,50,AT: 2x25m løbes som 2 intervaller af 25 min. Puls i AT-zone
AT: 2x30m ,2x30m ,60,60,AT: 2x30m løbes som 2 intervaller af 30 min. Puls i AT-zone
,,,,
AT: 3x2m ,3x2m ,6,6,AT: 3x2m løbes som 3 intervaller af 2 min. Puls i AT-zone
AT: 3x3m ,3x3m ,9,9,AT: 3x3m løbes som 3 intervaller af 3 min. Puls i AT-zone
AT: 3x4m ,3x4m ,12,12,AT: 3x4m løbes som 3 intervaller af 4 min. Puls i AT-zone
AT: 3x5m ,3x5m ,15,15,AT: 3x5m løbes som 3 intervaller af 5 min. Puls i AT-zone
AT: 3x8m ,3x8m ,24,24,AT: 3x8m løbes som 3 intervaller af 8 min. Puls i AT-zone
AT: 3x10m ,3x10m ,30,30,AT: 3x10m løbes som 3 intervaller af 10 min. Puls i AT-zone
AT: 3x12m ,3x12m ,36,36,AT: 3x12m løbes som 3 intervaller af 12 min. Puls i AT-zone
AT: 3x15m ,3x15m ,45,45,AT: 3x18m løbes som 3 intervaller af 15 min. Puls i AT-zone
AT: 3x20m ,3x20m ,60,60,AT: 3x20m løbes som 3 intervaller af 30 min. Puls i AT-zone
,,,,
AT: 4x2m ,4x2m ,8,8,AT: 4x2m løbes som 4 intervaller af 2 min. Puls i AT-zone
AT: 4x3m ,4x3m ,12,12,AT: 4x3m løbes som 4 intervaller af 3 min. Puls i AT-zone
AT: 4x4m ,4x4m ,16,16,AT: 4x4m løbes som 4 intervaller af 4 min. Puls i AT-zone
AT: 4x5m ,4x5m ,20,20,AT: 4x5m løbes som 4 intervaller af 5 min. Puls i AT-zone
AT: 4x8m ,4x8m ,32,32,AT: 4x8m løbes som 4 intervaller af 8 min. Puls i AT-zone
AT: 4x10m ,4x10m ,40,40,AT: 4x10m løbes som 4 intervaller af 10 min. Puls i AT-zone
AT: 4x12m ,4x12m ,52,52,AT: 4x12m løbes som 4 intervaller af 12 min. Puls i AT-zone
AT: 4x15m ,4x15m ,60,60,AT: 4x15m løbes som 4 intervaller af 15 min. Puls i AT-zone
,,,,
AT: 5x2m ,5x2m ,10,10,AT: 5x2m løbes som 5 intervaller af 2 min. Puls i AT-zone
AT: 5x3m ,5x3m ,15,15,AT: 5x3m løbes som 5 intervaller af 3 min. Puls i AT-zone
AT: 5x4m ,5x4m ,20,20,AT: 5x4m løbes som 5 intervaller af 4 min. Puls i AT-zone
AT: 5x5m ,5x5m ,25,25,AT: 5x5m løbes som 5 intervaller af 5 min. Puls i AT-zone
,,,,
AT: 6x3m ,6x3m ,18,18,AT: 6x3m løbes som 6 intervaller af 3 min. Puls i AT-zone
AT: 6x4m ,6x4m ,24,24,AT: 6x4m løbes som 6 intervaller af 4 min. Puls i AT-zone
AT: 6x5m ,6x5m ,30,30,AT: 6x5m løbes som 6 intervaller af 5 min. Puls i AT-zone
,,,,
AT: 7x3m ,7x3m ,21,21,AT: 7x3m løbes som 7 intervaller af 3 min. Puls i AT-zone
AT: 7x4m ,7x4m ,28,28,AT: 7x4m løbes som 7 intervaller af 4 min. Puls i AT-zone
AT: 7x5m ,7x5m ,35,35,AT: 7x5m løbes som 7 intervaller af 5 min. Puls i AT-zone
,,,,
AT: 8x3m ,8x3m ,24,24,AT: 8x3m løbes som 8 intervaller af 3 min. Puls i AT-zone
AT: 8x4m ,8x4m ,32,32,AT: 8x4m løbes som 8 intervaller af 4 min. Puls i AT-zone
AT: 8x5m ,8x5m ,40,40,AT: 8x5m løbes som 8 intervaller af 5 min. Puls i AT-zone
,,,,
,,,,
AT: 2x(3+1)m ,2x(3+1)m ,6,6,AT: 2x(3+1)m løbes som 1 intervalserie med 2 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 3x(3+1)m ,3x(3+1)m ,9,9,AT: 3x(3+1)m løbes som 1 intervalserie med 3 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 4x(3+1)m ,4x(3+1)m ,12,12,AT: 4x(3+1)m løbes som 1 intervalserie med 4 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 5x(3+1)m ,5x(3+1)m ,15,15,AT: 5x(3+1)m løbes som 1 intervalserie med 5 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 6x(3+1)m ,6x(3+1)m ,18,18,AT: 6x(3+1)m løbes som 1 intervalserie med 6 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 7x(3+1)m ,7x(3+1)m ,21,21,AT: 7x(3+1)m løbes som 1 intervalserie med 7 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 8x(3+1)m ,8x(3+1)m ,24,24,AT: 8x(3+1)m løbes som 1 intervalserie med 8 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 9x(3+1)m ,9x(3+1)m ,27,27,AT: 9x(3+1)m løbes som 1 intervalserie med 9 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
AT: 10x(3+1)m ,10x(3+1)m ,30,30,AT: 10x(3+1)m løbes som 1 intervalserie med 10 gentagelser af 3 minutters arbejde og 1 minuts pause. Puls i AT-zone
,,,,
,,,,
AT: 2x(5+2)m ,2x(5+2)m ,10,10,AT: 2x(5+2)m løbes som 1 intervalserie med 2 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 3x(5+2)m ,3x(5+2)m ,15,15,AT: 3x(5+2)m løbes som 1 intervalserie med 3 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 4x(5+2)m ,4x(5+2)m ,20,20,AT: 4x(5+2)m løbes som 1 intervalserie med 4 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 5x(5+2)m ,5x(5+2)m ,25,25,AT: 5x(5+2)m løbes som 1 intervalserie med 5 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 6x(5+2)m ,6x(5+2)m ,30,30,AT: 6x(5+2)m løbes som 1 intervalserie med 6 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 7x(5+2)m ,7x(5+2)m ,35,35,AT: 7x(5+2)m løbes som 1 intervalserie med 7 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 8x(5+2)m ,8x(5+2)m ,40,40,AT: 8x(5+2)m løbes som 1 intervalserie med 8 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 9x(5+2)m ,9x(5+2)m ,40,40,AT: 9x(5+2)m løbes som 1 intervalserie med 9 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
AT: 10x(5+2)m ,10x(5+2)m ,40,40,AT: 10x(5+2)m løbes som 1 intervalserie med 10 gentagelser af 5 minutters arbejde og 2 minutters pause. Puls i AT-zone
,,,,
,,,,
AT: 2+1+2…m ,2+1+2…m ,1x12,16,"max: 2+1+2…m, løbes som 2 min på AT niveau + 1 min med øget belastning mod max + 2 min på AT niveau osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
AT: 3+1+3…m ,3+1+3…m ,1x12,15,"AT: 3+1+3…m, løbes som 3 min på AT niveau + 1 min med øget belastning mod max + 3 min på AT niveau osv. Tidsperiode for intervalserien er nævnt i ""Andet"""
,,,,
,,,,
,,,,
,,,,
,Indset ny linje foer denne linje hvis du tilfoejer nye intervaller,,,
,,,,
,Max,,,
,,,2.0,
Max: 1x4(30+30)s,1x4(30+30)s,2.00,4,"max: 1x4(30+30)s, køres som 1 intervalserie med 4 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 1x5(30+30)s,1x5(30+30)s,2.50,5,"max: 1x5(30+30)s, køres som 1 intervalserie med 5 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 1x6(30+30)s,1x6(30+30)s,3.00,6,"max: 1x6(30+30)s, køres som 1 intervalserie med 6 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 1x7(30+30)s,1x7(30+30)s,3.50,7,"max: 1x7(30+30)s, køres som 1 intervalserie med 7 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 1x8(30+30)s,1x8(30+30)s,4.00,8,"max: 1x8(30+30)s, køres som 1 intervalserie med 8 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 1x9(30+30)s,1x9(30+30)s,4.50,9,"max: 1x9(30+30)s, køres som 1 intervalserie med 9 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 1x10(30+30)s,1x10(30+30)s,5.00,10,"max: 1x10(30+30)s, køres som 1 intervalserie med 10 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
,,,,
,,,,
Max: 2x4(30+30)s,2x4(30+30)s,4.00,8,"max: 2x4(30+30)s, køres som 2 intervalserier med 4 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 2x5(30+30)s,2x5(30+30)s,5.00,10,"max: 2x5(30+30)s, køres som 2 intervalserier med 5 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 2x6(30+30)s,2x6(30+30)s,6.00,12,"max: 2x6(30+30)s, køres som 2 intervalserier med 6 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 2x7(30+30)s,2x7(30+30)s,7.00,14,"max: 2x7(30+30)s, køres som 2 intervalserier med 7 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 2x8(30+30)s,2x8(30+30)s,8.00,16,"max: 2x8(30+30)s, køres som 2 intervalserier med 8 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 2x9(30+30)s,2x9(30+30)s,9.00,18,"max: 2x9(30+30)s, køres som 2 intervalserier med 9 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 2x10(30+30)s,2x10(30+30)s,10.00,20,"max: 2x10(30+30)s, køres som 2 intervalserier med 10 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
,,,,
,,,,
Max: 3x6(30+30)s,3x6(30+30)s,9.00,18,"max: 3x6(30+30)s, køres som 3 intervalserier med 6 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 3x7(30+30)s,3x7(30+30)s,10.50,21,"max: 3x7(30+30)s, køres som 3 intervalserier med 7 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 3x8(30+30)s,3x8(30+30)s,12.00,24,"max: 3x8(30+30)s, køres som 3 intervalserier med 8 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
Max: 3x10(30+30)s,3x10(30+30)s,13.50,27,"max: 3x10(30+30)s, køres som 3 intervalserier med 10 gentagelser af 30 sekunders arbejde og 30 sekunders pause, i hver serie. kadence 95-110. Køres med samme belastning i hele intervallet"
,,,,
,,,,
Max: 1x4(40+20)s,1x4(40+20)s,2.66,5.32,"max: 1x4(40+20)s, køres som 1 intervalserie med 4 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x5(40+20)s,1x5(40+20)s,3.33,6.66,"max: 1x5(40+20)s, køres som 1 intervalserie med 5 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x6(40+20)s,1x6(40+20)s,4.00,8,"max: 1x6(40+20)s, køres som 1 intervalserie med 6 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x7(40+20)s,1x7(40+20)s,4.66,9.32,"max: 1x7(40+20)s, køres som 1 intervalserie med 7 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x8(40+20)s,1x8(40+20)s,5.33,10.66,"max: 1x8(40+20)s, køres som 1 intervalserie med 8 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x9(40+20)s,1x9(40+20)s,6.00,12,"max: 1x9(40+20)s, køres som 1 intervalserie med 9 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x10(40+20)s,1x10(40+20)s,6.66,13.32,"max: 1x10(40+20)s, køres som 1 intervalserie med 10 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
Max: 2x4(40+20)s,2x4(40+20)s,5.33,10.66,"max: 2x4(40+20)s, køres som 2 intervalserier med 4 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x5(40+20)s,2x5(40+20)s,6.66,13.32,"max: 2x5(40+20)s, køres som 2 intervalserier med 5 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x6(40+20)s,2x6(40+20)s,8.00,16,"max: 2x6(40+20)s, køres som 2 intervalserier med 6 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x7(40+20)s,2x7(40+20)s,9.33,18.66,"max: 2x7(40+20)s, køres som 2 intervalserier med 7 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x8(40+20)s,2x8(40+20)s,10.66,21.32,"max: 2x8(40+20)s, køres som 2 intervalserier med 8 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x9(40+20)s,2x9(40+20)s,12.00,24,"max: 2x9(40+20)s, køres som 2 intervalserier med 9 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x10(40+20)s,2x10(40+20)s,13.33,26.66,"max: 2x10(40+20)s, køres som 2 intervalserier med 10 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
Max: 3x4(40+20)s,3x4(40+20)s,8.00,16,"max: 3x4(40+20)s, køres som 3 intervalserier med 4 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x5(40+20)s,3x5(40+20)s,10.00,20,"max: 3x5(40+20)s, køres som 3 intervalserier med 5 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x6(40+20)s,3x6(40+20)s,12,24,"max: 3x6(40+20)s, køres som 3 intervalserier med 6 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x7(40+20)s,3x7(40+20)s,14,28,"max: 3x7(40+20)s, køres som 3 intervalserier med 7 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x8(40+20)s,3x8(40+20)s,16,32,"max: 3x8(40+20)s, køres som 3 intervalserier med 8 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x9(40+20)s,3x9(40+20)s,18,36,"max: 3x9(40+20)s, køres som 3 intervalserier med 9 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x10(40+20)s,3x10(40+20)s,20,40,"max: 3x10(40+20)s, køres som 3 intervalserier med 10 gentagelser af 40 sekunders arbejde og 20 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
,,,,
Max: 1x3(60+60)s,1x3(60+60)s,3,6,"max: 1x3(60+60)s, køres som 1 intervalserie med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x4(60+60)s,1x4(60+60)s,4,8,"max: 1x4(60+60)s, køres som 1 intervalserie med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x5(60+60)s,1x5(60+60)s,5,10,"max: 1x5(60+60)s, køres som 1 intervalserie med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 1x6(60+60)s,1x6(60+60)s,6,12,"max: 1x6(60+60)s, køres som 1 intervalserie med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
,,,,
Max: 2x3(60+60)s,2x3(60+60)s,6,12,"max: 2x3(60+60)s, køres som 2 intervalserier med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x4(60+60)s,2x4(60+60)s,8,16,"max: 2x4(60+60)s, køres som 2 intervalserier med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x5(60+60)s,2x5(60+60)s,10,20,"max: 2x5(60+60)s, køres som 2 intervalserier med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x6(60+60)s,2x6(60+60)s,12,24,"max: 2x6(60+60)s, køres som 2 intervalserier med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
,,,,
Max: 3x3(60+60)s,3x3(60+60)s,9,18,"max: 3x3(60+60)s, køres som 3 intervalserier med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x4(60+60)s,3x4(60+60)s,12,24,"max: 3x4(60+60)s, køres som 3 intervalserier med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x5(60+60)s,3x5(60+60)s,15,30,"max: 3x5(60+60)s, køres som 3 intervalserier med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x6(60+60)s,3x6(60+60)s,18,36,"max: 3x6(60+60)s, køres som 3 intervalserier med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
,,,,
Max: 4x3(60+60)s,4x3(60+60)s,12,24,"max: 4x3(60+60)s, køres som 4 intervalserier med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 4x4(60+60)s,4x4(60+60)s,16,32,"max: 4x4(60+60)s, køres som 4 intervalserier med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 4x5(60+60)s,4x5(60+60)s,20,40,"max: 4x5(60+60)s, køres som 4 intervalserier med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 4x6(60+60)s,4x6(60+60)s,24,48,"max: 4x6(60+60)s, køres som 4 intervalserier med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver serie. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
,,,,
,,,,
Max: 1x1m,1x1m,1.00,2,"max: 1x1m, køres som 1 interval af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x1m,2x1m,2.00,4,"max: 2x1m, køres som 2 intervaller af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x1m,3x1m,3.00,6,"max: 3x1m, køres som 3 intervaller af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 4x1m,4x1m,4.00,8,"max: 4x1m, køres som 4 intervaller af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 5x1m,5x1m,5.00,10,"max: 5x1m, køres som 5 intervaller af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 6x1m,6x1m,6.00,12,"max: 6x1m, køres som 6 intervaller af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 7x1m,7x1m,7.00,14,"max: 7x1m, køres som 7 intervaller af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 8x1m,8x1m,8.00,16,"max: 8x1m, køres som 8 intervaller af 1 min. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
,,,,
